,评论内容
566,学校这反应我是不敢相信你说的！！！
567,评论区希望得到的结论：校园暴力，老师体罚，谋杀
568,看了这个新闻下面的留言，我觉得我们国家普法任重道远，非正常死亡，首先是警察会封锁现场，封锁所有相关证据，直到调查结果出来，包括家属和学校都不能调阅和私自移动任何东西，包括监控，还有说拉去火化的，尼玛死亡了法医不鉴定，谁敢烧？一个个嘴炮像白痴一样
569,不让家长见孩子，不让看监控，就铁定有问题。监控是反应事实经过的，最客观最真实，学校不让看，说白了，就是故意掩盖事实，心虚成什么样了
570,好家伙，错别字先改一改吧
571,为什么不是公安通报？哪里的检查组？成员都有谁？
572,反正我不信
573,什么样的结果才能满足评论区？
574,这种回应 真的让人寒心 绝望
575,古往今来，凡自证清白者，举尽能证其清白之物。今欲自证清白者，毁尽其物，一纸空文搪塞众民之口，欲置己于真理，荒诞至极。处传道授业解惑之地，行食人之事，可悲！ ​​​
576,疑问众多
577,18点40出的事，家长9点才知道？中间的时间被谁偷走了
578,监控可以看看吗
579,挺简单的一个事件
580,不懂就问 监控去哪了
581,这个成华教育用户已经不存在了吗
582,希望查明真相
583,视频交出来。。比啥都强。说这么多没用的。
584,就这？？？
585,我就一个疑问：学生坠亡，学校第一时间不联系家长也不报警，确认死亡后直接拉火葬场了，之后监控就看不到了，合法的学校怎么像是在掩盖非法的勾当！
586,这么大的孩子说没就没 你学校一句个人行为就能让当家长的信服吗 做那些小动作为啥呢
587,这么简单一件事，为什么没有第一时间让家长知道事件的来龙去脉？不可思议的处理方式！
588,成华教育发布这号怎么没了，跑路了？
589,当事人家长说出事那段监控没有了。谁说的对啊？
590,为什么前期要遮遮掩掩？
591,有了瞒豹事件，我已经不相信这种说明了，除非给我看监控
592,监控放出来看看
593,“5月9日下午5时40分许，她将儿子送到了学校，而儿子坠楼的时间是6时40分许，仅仅返校一个小时，儿子怎么就死了”大家注意时间。如果一个小时内男孩在学校没有发生什么，那就要想想之前他和他母亲之间发生了什么，是否有争执矛盾。学校说的很可能是真的，也就是自杀#成都四十九中回应学生在校高坠离世#
594,这样也太轻率了吧
595,公安局发的我都不一定信
596,自己跳下去的学校不是该孩子跳下去后就通知家属么
597,你我皆是蝼蚁，帮人就是帮自己
598,都拉去火化了，监控也“坏”了，肯定是你说啥就是啥了
599,到底是否存在视频缺失？提前火化？等网络关注的事情。如果有，请学校回复大家的关切以及原因？如果没有，请把网络上那些谣言传播引导者抓起来…
600,如果事情这么简单，一开始真没必要捂着盖着
601,我不信
602,家长同意将学生跳楼事情经过视频发在网上公布吗？？？？
603,早该如此！有公安的法医鉴证不就行了吗！非得拖拖拉拉！你看看，现在公知恨国党全部下场开始传谣了！以后拖拉不作为引发舆情的也要追责！
604,我们学校外卖被偷都能去保安室请求调监控，这都死人了怎么反而还不让家属看了呢
605,你真的是公信力越来越差了，也开始说瞎话了。
606,为什么不是警方发布？监控为什么不公开？坠楼前发生了什么？为什么不是第一时间叫120？
607,教育局发布警方调查通报？那要警方何用？
608,曝光监控
609,有猫腻！
610,谁排除的？
611,呵呵 这套词 谁都会背了！！！
612,我们国家没有种族歧视 只有草菅人命
613,人可以撒谎，监控不能
614,这个社会好让人失望啊
615,？
616,你看我们相信么？
617,唉，一声叹息！以前的同事，最近家里也出了件大事，晚上家人还在，他十二岁的儿子不知咋就从22楼跳下去了，还砸死了一个遛弯的老太太。现在的孩子心里不知咋想的。
618,奥特错人了？
619,"学校是可怕的, 缺乏心理支持。当一个孩子不能把压力和烦恼的不称职的学校和“自杀了”,都学校, 教育和当地政府机构都很快说”个人决定”这是他的选择, 我肯定了他会选择住如果学校提供的专业和快乐的环境。你怎么能把一个孩子”毁了自己的生活”当作替罪羊呢?学校里发生的一些事情是他自杀的前兆"
620,这不是糊弄人了？监控画面为啥不公布？你觉得这里面没问题？有人信吗？
621,好的刑事案件
622,不要敷衍了事，是一个生命没了
623,就这，请把监控拿出来，这个时候说，已经不算事实了
624,教育局自己查自己？敢不敢公布监控，这种新闻不值得关注吗@人民日报 @央视新闻
625,最后的反抗怕也是无能为力了？？？
626,通报：根据现场攀爬痕迹、足迹和指纹印证，认定高坠属个人行为。 现场足迹、指纹首要要认定是高坠学生的，然后结合分布和朝向，公安机关可以判断系高坠学生自主完成。 生命的逝去令人痛心！#成都49中#
627,至少让家长看一下吧//@金主的小阳: 把监控拿出来，让大家瞄一眼
628,越来越一文不值的公信力
629,家长自己去找证据吧！别指望这些人了
630,你说你的。可是孩子没了
631,对啊，公布监控是最好的办法
632,这个结论要是有问题，如果推翻了这个结论，那不单单就是教育局跟学校的事情了，还有派出所一系列相关单位，最可怕的是最后即便还原事实真相后，是不是也会不了了之呢？
633,呸！个人行为？？？鬼信哦！@凤凰网
634,？
635,@Una-PJY ？？？？？
636,没监控就是假的
637,无语
638,教育部领衔下的教育局差到家了，自己就是反面教材还怎么育人？
639,说真的我不信
640,谁干的？
641,监控呢？
642,在成都的校园走一走，走一走，
643,一般学校会先采取对其用品的进行搜索 不留下不良记录【遗书 日记 来往手机内容。等】。所以绝不会第一时间报到110 当然不是说这起案件也是这个情况。 相信警方吧。
644,唉，世道变了，人变坏了，某些有权有势的更坏
645,完全不信政府和学校的一面之词，要么就公布监控，要么就请中央介入！
646,所以这就是成都警务的公信力？？？
647,你相信吗？
648,鬼相信，一颗千疮百孔的心
649,…
650,现在的Jc连剧本杀玩家都不如。🙃
651,我连一个标点符号都不信
652,这篇很是干脆啊！之前澎湃新闻的好歹还说完善细节，这里直接盖棺定论了！前者还想着怎么圆谎，这里直接连谎都不圆了：就是自杀爱信不信！
653,不公布视频无法让人相信
654,那为什么会坠楼呢？？？原因呢？同班同学都没一个人知道的吗？？
655,一个快成年、快进入社会的孩子…个人行为？对不起…我信不了…
656,然后呢？？！“个人行为”，就完事儿了，真够“利索痛快的” ！[康乃馨][康乃馨][康乃馨] 监控给人家父母看清楚了 ！！那是个活生生的孩子！！！⚡⚡⚡⚡⚡⚡⚡⚡⚡⚡
657,发布内容基本都成了格式版本了
658,监控到底有没有缺失？
659,让子弹飞一会儿，先坐下来看各路编剧戏精云端神探的表演
660,#成都四十九中回应学生在校高坠离世#  这事要说学校集体隐瞒凶手，个人觉得可能性还是不大，除非是群体作案，否则利益不统一。哪怕是校董干的，现在法治社会，谁会冒天下之大不韪一起帮着隐瞒。至于学校的很迷的骚操作，和教育局充当公安部发通告，都是赶紧大事化小，怕对学校影响不好的骚操作。
661,扯淡！我就孩子问家长为什么没有权利看尸体？关键时间点的监控公布一下？
662,¡评论配图
663,我傻了这啥啊直接全盘否认
664,警察的调查由你教育口的发布？？？？
665,？
666,现在指责谁都太早，等待公安机关的最终通告，如果是真的不给家属看监控，那确实是校方的错，如果家属说的是假话，校方不明确指出，那么校方依旧有错。不过这一切都不能代表他杀，自杀还是他杀还是看警方的证据。
667,成都市长还是换个人来当吧，弄的乌烟瘴气，视人命如草芥
668,那为啥着急着火化？
669,这是把责任理清楚了？
670,孩子莫名其妙没有了，再给你个莫名其妙的官方理由，发布个莫名其妙的家属情绪稳定，为莫名其妙的郭嘉掘出一块墓地。
671,我觉得这事和这学生家庭情况有很大关系！
672,家长说的也未必都是事实，家长说被火化了，事实没有//@您要来点面包吗:18点40出的事，家长9点才知道？中间的时间被谁偷走了
673,😄 没人信，最好让跨省来调查
674,不管别人信不信，反正我是信了
675,公布监控视频
676,严查到底
677,这个监控视频坏的真是时候，老百姓真是佩服了……[广告][广告][广告]
678,监控！！！
679,这个通报基本就一个意思：他死和我没关系，你有异议就走司法程序。这tm还是搞教育的参与的通告，一点人味都没！
680,他是碰到什么事情跳不知道，网友不了解，真实情况，最关键是让孩子家长能接受调查结果。
681,监控呢？没法信服，怎么说呢，官方总归有办法
682,公开监控！！
683,官腔套话，拿视频，证据
684,唉
685,这种结论👻都不会信
686,监控呢？怎么不公布监控！
687,即使孩子是自己跳，原因呢？好端端的孩子为什么在学校跳楼？学校为什么没有监管预防？
688,为啥就那段时间监控没有
689,好家伙，三千多条评论中，正面拥护通告的极少极少，大多是质疑和不信任，这到底是怎么回事？一声长叹啊！！！！！！！
690,公安机关说还在查
691,如果真是这样，请把监控拿出来看
692,冰冷的文字无法让大众信服，请曝光监控！
693,区片领导全枪毙
694,一D专政，官威就可以只手遮天，管你人民怎么想。
695,为什么学校不敢让家属看监控？到底怕什么什么？
696,这就是成都公安机关的实力？这么多群众看到的可疑点，对他们来说就是无视？
697,说的啥，模棱两可的
698,公布的程序起码应该有像货拉拉事件的起因经过结果吧，就这...........
699,监控呢？
700,侮辱智商的通告，又是拖延时间又是删监控又是下封口令，傻子才相信校方是清白的！！
701,你们自己信吗？
702,这个通报为什么不是警察发布？？？
703,排除刑事案件，但不能直接排除学校无责。
704,厉害了我的国
705,公安不发布，学校发布，监控呢，这个学校不用细思也恐了
706,没有具体的时间线梳理 只有简单的套话 不足以服众
707,监控公布
708,放屁吧
709,悲不悲？
710,如此国度，对年轻一代的漠视与对学生的不尊重，得来的将是新中国崛起时的景象，历史只会重复，从没能改过。要知道，先烈们的斗争因何而动的，能平等和平的生活着谁愿意去乱操心，官爷们，等待改换吧
711,没有说一下是为什么跳楼吗
712,国家不要再让我们失望行吗！！！！多少次了！权贵真好啊？用钱买命，有钱有权就是无法无天是吗？人民的信任是有限的
713,请看评论区亮了！不开精选的结果
714,典型的财阀官僚作风  ，一出事就想蒙住遮羞布，忽悠大众。这些都不值得上热搜吗？？？
715,所以监控怎么就偏偏那段放不了呢
716,应该首先考虑风的因数
717,估计监控视频已经删了
718,都烧成灰了，法医怎么检验的？没有家属签字怎么就直接火化了
719,真的希望苍天开开眼吧
720,骗人的把戏！敢公布真相吗？还当国人都是傻子？
721,公布视频
722,现在学校跟黑社会一样，放眼成都居然没有一个官媒报道。有种你把监控放出来，据说贵校除了厕所，其他地方360度无死角的监控
723,视频全过程看一下
724,写得这么光明磊落，那为什么事发当时不通知家长看孩子？那是她的亲生骨肉！
725,我们都知道是坠楼死亡，问题在于，坠楼是遭到了胁迫，如果自愿，为什么会跳楼？是不是存在校园暴力，老师言语过激或体罚情况，人命关天，用点心
726,监控，看监控，让监控发布
727,监控呢
728,呼吁全国监控联网入云，由国务院设独立单位统一储存管理，纪委监委驻派监督！破除封建迷信一百来年了，中国人不要玄学监控！
729,这个学校的相关老师和学校领导是什么一个人，应该查查！
730,这视频有啥不好意思拿出来的呢？估计可能又坏了
731,可怕，应再细查
732,这个标题吓我一跳，我以为49个中学生坠楼
733,呵呵 谁信
734,赶紧把监控放出来，大家就都放心了。
735,谁信
736,早上还跟妈妈说节日快乐，晚上人就没了，谁会在母亲节让妈妈痛不欲生？监控见不得人？
737,这种通报就别发出来丢人现眼了。
738,…………能给家长看看那段缺失的监控吗
739,那请问为什么学校不允许家长进去？为什么不允许家长看孩子尸体？请问可以公开监控吗？只是对这三个问题有疑惑，恳请解答。
740,评论区希望得到的结论：校园暴力，老师体罚，谋杀
741,那怎么不能看监控呢 家长需要一个交代啊
742,你说高坠是个人行为 这我相信 在学校也不可能有人推他下去 但是致使一个孩子作出坠楼决定的原因是什么才是大家关心的吧 他还在好好的祝母亲节日快乐 会脑子一热不活了？？就算如此他有必要选择在学校坠楼吗动机难以令人信服
743,监控？为什么这么奇怪？为什么不让人家母亲见孩子？
744,学校为什么不给家长见孩子，还直接拉去殡仪馆?这是做了什么事心虚么
745,为什么不先通知家长？为什么不先通知家长？为什么不先通知家长？为什么不让看监控？为什么不让看监控？
746,这就结束了？？作为局外人都想看监控！更何况是亲生父母呢🙃
747,有监控就行了 不要单独那段监控不翼而飞
748,你真慢 给个真实结果
749,？那为什么不让家长看监控
750,请彻查！
751,学校就这样把责任撇得干干净净？？我们关心的疑点只字不提！！！
752,案件还疑点重重  作为官方媒体竟然在这种情况下转发一个教育官媒的案件通报？？！！什么时候轮得到教育部门来断案了？还要警察和法医干什么？？！！
753,真的吗 我不信
754,不给看监控说不通，直接拉殡仪馆说不通。未成年人保护法，监护人不是家长吗？
755,你不配叫人民日报！你应该叫官官相护报！
756,到底是否存在视频缺失？提前火化？等网络关注的事情。如果有，请学校回复大家的关切以及原因？如果没有，请把网络上那些谣言传播引导者抓起来…
757,美国的3亿美元没有白花呀，好多带节奏的，你们是真正关心吗?难道只有BBC CNN说的才是真相?
758,好好的孩子，自己想不开了跳楼了？？？？？？
759,监控!
760,这件事已经成为公众关注事件了，大家现在的疑问就是孩子出事的监控到底存不存在。坠楼视频既然不方便发出来，那发别的证据，比如救护车进校的监控证明及时抢救，电话记录证明先通知了家属而不是先直接拖去了殡仪馆，要不然不管真相怎么样单从学校自己处理遗体这一条我就能骂你心里有鬼和没有人性
761,就这？监控在哪？有给家属看吗？他的爸爸妈妈还不能见他吗？让他们怎么办？？？？？
762,不信。
763,然后监控就坏了？
764,这是什么狗屁回应
765,那为什么直接拉走？监控为啥不公开？
766,可是时间的延迟 擅自送孩子尸体去殡仪馆的疑点 不然父母见孩子尸体的疑点 并没有得到答复啊
767,鬼才信
768,比起营销号我还是更相信人民日报
769,你信吗？
770,第一次见教育局通报的，公安局死哪去了？
771,公布监控比什么都有说服力……
772,个人问题轻生....真的吗
773,为什么不敢公布监控
774,这就结束了 ？作为局外人都想看监控！更何况是亲生父母呢🙃
775,法医检验？家长说的是直接拉去火化了。 调阅监控？家长说的是唯独缺少那段监控。 全面调查？家长说的是学校让学生三缄其口。 必定有人在说谎！
776,人民日报也被收买？
777,监控呢？拿出来看看
778,人民日报，哈哈哈，现在看这个名字太讽刺了，请你改名字吧，改成当官日报，帮着当官发言的报纸
779,天真的亮了吗
780,那为什么不让家长进校园和看孩子？这个就有点奇怪，还要让其他学生三缄其口？
781,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？眨眨眼？？？？？？？？？？？？？？？？
782,不要避重就轻 请使用技术手段恢复被删除监控
783,连人民日报都这么转发…… 作为一个平民，我太心寒了。想哭，这是法治社会啊，法治呢？？？？？？？法律是用来保护人民的，而不是敷衍人民的！
784,监控放出来
785,监控为什么缺失！请彻查，还原真相！
786,如果毛爷爷还活着，看到这种事，会心痛的吧！ 很明显不是自杀，你们发这样的通告，明白为什么很多年轻人不入党了，因为资本主义才是头头！
787,成都49中的校训：求真求实、至善至美！
788,你是人民日报 你都为他们说谎 那我关注你又有何意义
789,人民日报现在就是个笑话
790,？？？现在出事了都那么想潦草收场吗 这种事情发生不止一次吧 国家说要整顿 麻烦看看教育行业吧 如果学生都是会这样无端就离世 一出事学校就擅作主张地自行解决 那孩子岂不是被剥夺了人权和生命权 家长的权利同样因为没有资本没有背景而被禁锢 这样的社会难道就是我们想要看到的吗
791,就这还是“人民”日报 好样的！
792,轻生 这话可不能随便说 。
793,为什么正好当时的监控看不到？为什么不让家长见尸体？为什么私自把尸体送到火化场？为什么2个小时救护车才到？
794,那天还跟妈妈说节日快乐，晚上人就没了，这让家人多痛苦啊！为什么有时间空出了问题！？？
795,不相信！请彻查！还原真相
796,你们记不记得成都大学党委书记自杀？
797,这就是人民日报？复制粘贴？心拔凉拔凉的呀！
798,为什么公安都没有先通报？而是你们教育局先发通报；真的人全国人民很怀疑你们的做法呀……
799,你们官方是不都安排好了统一口径了？
800,别尬黑，摄像头不忍心看到孩子自杀的画面，那一刻扭头了😓😓😓
801,说是孩子自己轻身的，独独那个时间段的监控没有了，这合理吗？
802,完了？为什么不让家长进学校？为什么不让家长看监控？为什么网上曝出来，才成立调查组？在干嘛去了？校长就没责任？教育局没责任？主管部门没责任？藏不住了  再来发通告？在干嘛去了？这就是工作作风？
803,你可是人民日报啊
804,天下乌鸦一般黑是吗人民日报 ，对你失望了
805,你可是人民日报啊！成都的教育系统也该扫黑了！最近出了多少事了！老百姓怨声载道
806,建议国家将学校医院等公共区域的监控纳入公安机关天网系统管理。
807,监控呢！！为什么就那段监控消失！！为什么不给孩子父母亲看监控？？为什么学校不经过家长同意直接火化？？ 这是一个生命啊，也是父母亲的宝贝
808,人民日报可真是个好日报，毫无官方报纸的权威和严谨，怎么不疑惑这个教育局有啥权利定性案件？也不质疑这短短几个小时就完成了这么多尸检痕迹对比？就完成了学校责任调查？？就完全确定了是学生个人原因？？？
809,好令人寒心啊...你身为一个官媒......真的是武汉的雨再大也不如四川的天黑
810,孩子家长自述，出门前还祝妈妈节日快乐，到学校就自杀？是不是不太合理呢……
811,只希望公布视频给家属，别一出事就是视频坏了
812,无论如何，第一时间为什么不和家长沟通？不让家长看孩子？行的端走的正，学校你们虚什么呢……！？？？
813,为什么评论清一色的他杀论？被害妄想症吗？
814,学校的操作让人怀疑
815,大家都在等等看吧。就像前几年特别厉害的红黄蓝幼儿园事件，又是什么监控问题，又是军方背景保护幼儿园欺负老百姓了，调查到最后就是家长撒谎而已。所以大家先冷静，不要一股脑被人带节奏
816,人民日报啊你可是人民日报啊！怎么就转发一下了事了呢？所以丢失的监控呢？所以为什么不是警察局发出的通告呢真的太心痛了
817,他妈妈不是说前一天才祝她母亲节快乐吗？
818,人民日报  希望你能跟进  说别的没用 监控呢
819,如果是自杀，学校的一系列行为让人迷惑，查一查学校领导吧
820,合着学校一点责任没有，都是学生碰瓷咯，脑子有坑吗？
821,没有证据的屁话，我也可以说一大堆
822,一句话，公布监控
823,相信调查组公正客观的调查。
824,牛逼 背后有大靠山啊教育局连夜发通报
825,个人问题轻生？？那监控不是就该给家长公示吗？且为什么直接把人拉走不提前告知家长还不让其见面呢？
826,教育确实需要一场改革了，现在的教育环境最悲催的是孩子。游戏、网络、饭圈文化、辅导班满天飞、唯成绩论、贩卖焦虑、家长焦虑…… 另，希望加强监控管理和有关法律制度，对那些一出事监控就坏了的有关部门或个人严惩不贷
827,我非常不信........
828,公布监控啊倒是
829,逼迫同班同学不准说，说了就退学不能高考又是咋回事儿？不解释？
830,你信吗？我不信。恶魔在人间啊～老百姓就这么被欺诈～这就是这个社会的黑暗
831,这个通报人民日报你自己信吗？
832,人民日报不可以这样
833,人民日报的评论区向来是不能看的，热评除了蹭热度吃人血馒头的营销号，都是些什么没脑子的人，直接开始攻击国家了，属实给我整笑了
834,中国，呵呵。说多了怕喷
835,我们都是屁民人命真的不算什么
836,这就结束了，能服众人吗？ 出了这事教育局它根本就没有主事的权利，请公开审理，还原真实情况。
837,家长所言是否属实，学校做法是否存在问题，一句都不提指望大家没脑子糊弄过去就行了？
838,真有意思，没有理由他能去跳楼？
839,逝者安息
840,能说实话吗？
841,这全是官话，把监控公布出来
842,既然如此，校方为何遮遮掩掩呢？
843,你信吗
844,别人发啥你就信啥，你没脑子是吧，平时批评这个批评那个，一到关键时候屁都不放一个
845,你觉得合理吗就转发
846,原来人民日报也会敷衍人………对任命如此敷衍
847,希望可以公布那段“丢失”的监控录像！
848,想想怎么说
849,我只能说，人民日报你可真不做人
850,就算是官媒  还剩多少公信力？就算是一个亿的粉丝量，不疼不痒的复制粘贴，意义又在哪里？公布那些存在的疑点，给公众一个真相，才是一个国家媒体对百姓态度！
851,以后谁爱生谁生，一条生命无缘无故地消逝，不如不要把TA带到这个世上来
852,“他们这群人，又想吃人，又是鬼鬼祟祟，想法子遮掩，不敢直捷下手，真要令我笑死。  ​” ——鲁迅《狂人日记》 ​
853,少年是未来 教育都有黑暗 未来如何光明！我们只需要清清楚楚 明明白白！
854,没起到任何安抚民众的作用，反而制造更大的混乱，牛，你们真会做事，这就是维护社会治安的方式？
855,一个学生的命啊，49中真牛逼
856,想要服众就公开全部视频，回答为什么不让家长见孩子？
857,哎，不想说啥了，惨
858,现在的监控都这么智能吗，情商高的监控不该拍的都没拍吗
859,这你也信？他咋说你就咋发呗？
860,笑死。呵呵。午夜梦回愿你们都心安理得
861,请还家长一个公道，请还我们一个真相
862,人民日报还复制粘贴其他人的文案啊
863,为什么不及时叫120？不通知父母？监控呢？
864,这尼玛通报个什么鬼东西？为啥出事2小时以后救护车才到达现场？为什么会在教室办公楼坠楼？为什么有刚刚好缺失坠楼当时的监控？这尼玛就敷衍了事了？四川教育系统到底又多铁板一块？还有为什么事发第一时间没有通知家长要等孩子送殡仪馆以后再通知？@人民日报
865,为啥警察不发公告，教育局自己调查自己？
866,這講出來你人民日報信嗎
867,我觉得调查结果没问题，但是学校的态度真就跟黑社会样的
868,就这？监控在哪？有给家属看吗？他的爸爸妈妈还不能见他吗？让他们怎么办？？？？
869,让家长看看孩子？很难？
870,希望这是真相，把孩子还给那个妈妈吧
871,你们说什么就是什么咯 反正也不是第一次把我们当傻子了
872,官方不通报就说时间慢 官方通报后又不信
873,这集我看过。。这又是哪一家的“常威”？
874,？以后我们看草民日报的了呗
875,青年人就是被你们寒了心
876,扪心自问！还要装聋作哑吗？？！还是正义的发声者吗？？是谁掐住你们的喉咙捂住了你们的嘴？？！！
877,希望编辑这条内容的人，晚上可以睡得着
878,人民日报一直以来我都是挺信任的，但现在真相还没查清楚，为什么通报了就来转发，这个国家是社会主义社会
879,不第一时间通知父母告知情况，直接把孩子拉去殡仪馆。监控该有的没有，就离谱！！！这事那么蹊跷，扫黑组介入都可！
880,也可能真相就是如此，但是大家质疑的若干问题一个也没有回答，尤其是事发后家长不让进的黑箱时间里都做了什么，监控哪里去了，既然事实如此清楚为何又三缄其口，这些问题不逐个解除，单方的通报是没有说服力的
881,是个人都知道这里面存在的猫腻！无故直接拉去殡仪馆，然后不让家长看小孩尸体，掐断监控视频，救护车晚两小时到达，这无不都在说明这个事情绝不会那么简单！还世间一个公道！还世人一个真实的结果！！！！！！！
882,既然是个人行为，为什么学校拒绝向家属公开监控
883,党和国家会给老百姓真相的，对吗？
884,这种丢人现眼的通报居然得到了人民日报的转发……看来还是得看南方和央视新闻啊
885,教育部和地方教育还有公安系统这样做是给国家公检法系统抹黑知道吗？你让人民还怎么相信法律？普通学生的命不是命吗？这种老师该进监狱的，地方教育系统该整改整改该彻查彻查
886,你们人民日报有没有核实？是事实吗？的确如此吗？事情的真相果真如此吗？敢情媒介记者，不是调查求实，靠广告靠转发素材做新闻？请贵社听听民声，急百姓之所在。
887,你品品人家南方日报的说辞 再看看你的 在媒体角度 你有替人民发声吗？  你配得上“人民”二字不？
888,这份通报简直是在侮辱大众的智商。稍微有点常识的人都看得出处处透露着端倪。
889,丢人现眼的玩意，发这种公章都没有的通报
890,教育局发的顶什么用？警察调查结果是什么？而且凭什么不去医院直接去殡仪馆？谁给他们的权利？是怕在医院发现什么问题么？
891,死者家属申请看监控会被拒？不可能吧。但公布就真没必要了
892,就一条：为什么孩子遗体不让家属见最后一面而直接火化？凭什么？凭你们是司法机关吗？
893,他们这群人，又想吃人，又是鬼鬼祟祟，想法子遮掩，不敢直截下手
894,监控放出来
895,现在官方日报真是一点也不权威   该点评的时候 是一点言论的不发表。不该发表的就一顿点评。🤮
896,孩子的事情  父母的心情   孩子都没了  父母的心痛无人能体会   会心痛到极点     希望有关部门有点良知   给他的父母一个真像和公道   希望他的父母一定要好好的   坚强点
897,整个学校保持缄默，是不是该反思我们的教育体系了？这才是对这个国家、对这个民族负责的态度！
898,给证据让大家信服啊！空口说几句就能了事了吗！！！！法治社会不是讲究证据吗！！！！！监控是不是可以公布一下
899,我是要听你说这个吗？
900,真的很同情当事人的家属心情，但是我们也要相信和尊重事实真相就是如此，希望父母可以早日走出来，毕竟孩子都已经走了
901,我们相信官方的调查，也相信这就是调查的真相，希望相关部门能够妥善解决这个问题，给父母一个说法吧
902,所以就真的会不了了之了是嘛
903,父母养孩子养到这么大，说没就没了，哪个父母能不痛心呢？相信官方结果，静待处理方式
904,等真相。
905,是的，事情已经发生了，要好好的关注孩子家长的心情啊！他们才是最伤心的人
906,现在青年人的心里问题真的值得我们去关注，每年这样的新闻真是越来越多，小小年纪遇到点困难就想不开
907,在我看来虽然真相很重要，但是逝者已逝，我们现在做的应该就是好好去安抚父母的心情，毕竟人家失去了孩子，现在一定非常伤心
908,？？？？？？？？？？
909,为啥是教育厅公布？
910,人民日报竟然这么说 心寒
911,不信
912,请官媒介入探查真相吧
913,？？？怎么敢发的呀？？？那为什么人家妈妈不能进去看自己的孩子？？？？
914,前因后果不知道，只有一个问题→监控坏了，单位当不当责？
915,真的，监控都没有看到，学校各种欲盖弥彰，敢情没了的不是你们家的孩子吧！祝这些包庇 ，掩盖的人和学校明天也si孩子
916,请还原事实真相！给孩子妈妈一个交代 真的没有那么难呢！！
917,您能补发个：家长不认同吗？确实，孩子妈妈不认同，这不是假新闻，关注的人民也多，没有不补发的理由。
918,不让看遗体是依据哪条法律？
919,没想到人民日报也会…………
920,以后不能关注人民日报了
921,有人说我们为什么要看监控，好啊，那你们给家属看，家属站出来说确实是自杀，我们不追究，行吗
922,请公布监控@人民日报
923,真相仍然扑朔迷离&gt;&gt;O成都男生校内坠亡：母亲节这天 她永远失去儿子
924,成都警方回应&gt;&gt;O成都17岁高中生坠亡案疑点重重 警方再回应
925,遮遮掩掩欲盖弥彰
926,成都49中重新定义了辟谣标准，没有人证没有视频只靠嘴
927,昨夜全国轰隆轰隆的雷声还真是应了那句 “大雨中百鬼夜行    有人混在其中  比鬼还高兴”
928,疑点重重 ◆18: 40坠楼 20: 30救护车赶到 21点通知家长遗体已送往殡仪馆并阻止见面 ◆学校拒绝家长进入 拒绝家长看监控 ◆警察调看监控后 发现唯独没有坠楼那段视频 ◆根据受害者母亲描述 学校拒绝沟通 表示走司法程序 ★ 学校故意拖延家长了解案发现场以及阻止家人认领尸体 我认为这属于故意销毁证据
929,被校园霸凌的孩子家长一定要报警，不要妥协和调解，坚持走法律程序，让霸凌者在档案上留下触犯刑法的不光彩的一笔，可以毁他一辈子。记住！！
930,《顶楼》现实版
931,阻止谣言的最好方法就是官方第一时间答复所有质疑。
932,公开监控！！！给家长一个交代！！！！
933,我写了一段文字举报到了国务院官方app和微博@中国政府网 ，这是国务院办公厅运行中心，不知道投诉渠道对不对，但是我想尽一份自己的力量！！！！！
934,求扩散！请原谅我以这种方式耽误大家的时间，我真的没有办法了！我是一位绝症母亲，我在此实名举报我所在的通榆县树满街道，采用多种非法手段，打击报复身患绝症的我和孩子两年，把我们逼到有家不敢回！我用视频和文字讲述了全部过程，跪求各位网友帮忙转发扩散，让我们得到媒体和社会的关注，跪谢大家
935,监控关键时候就坏
936,教育局调查通报死亡事件，活久见
937,都不是真的？那真的是？坐等！
938,确实有很多疑点啊，最起码的监控都不让看
939,监控！！！监控！！！避重就轻！！！！！
940,那就出正式的调查啊，大家也不想冤枉无关人员
941,占用名额？....现实版顶楼？
942,别说了，完整的监控提供出来就行了，还真的是奇了怪了，前后监控都有，就出事的没了……这监控还真的是会挑时候耶
943,公布监控
944,“化学老师孩子的出国名额”？？？这说法不像是真的，因为，国外疫情仍非常严重，谁做家长都不会急着使手段促成孩子出国游学。一定要水落石出，查明真相
945,监控怎么就少了一段呢？恩？
946,我不愤怒和悲痛于生命的逝去，因为世事无常，人生总会遇到意外……我愤怒在于那些将整个国家的人民当傻子一样的敷衍和蔑视，愤怒于感觉自己的智商遭遇了在地面无情的践踏和摩擦！耻辱和悲愤让我的心绪难以接受……
947,请拿出来完整视频，用真正的真相灭杀谣言，越是遮掩，传言越是被人接受
948,那么巧 监控没了，谁信啊
949,各种否认，各种不配合，谁给的胆子一个真相那么难吗
950,这是想故意带偏大家，然后转移大家注意力！监控才是重点！
951,还是不明白为什么死死捂着监控视频不让看
952,你儿子考完试，就是不给你看成绩单，你说他考好还是没考好？学校牛逼
953,现实版《顶楼》
954,其实很简单的，你把监控拿出来证明与你校人员无关，难道广大网友还会造谣吗？
955,支持维权，孩子已经死了，对一个独生子女家庭来说意味着什么，意味着希望死亡了，这时候没啥顾虑了，坚决要求调查真相，坚决维权到底，你们可以骂我带节奏，真的假不了，黑的难道真的就能变白?要求公布监控录像，别用监控坏了说事。要求国家有关部门彻查。让看个监控这么难吗?有什么不敢给看的?
